mmsi,vessel_proximity,timestamp
232345740,[875832716],2023-03-15 19:30:00+00:00
875832716,[232345740],2023-03-15 19:30:00+00:00
232345740,[232006548],2023-03-15 20:30:00+00:00
232006548,[232345740],2023-03-15 20:30:00+00:00
889799564,[232006548],2023-03-15 21:30:00+00:00
232345740,[232006548],2023-03-15 21:30:00+00:00
232006548,"[889799564, 232345740]",2023-03-15 21:30:00+00:00
889799564,"[232006548, 232345740]",2023-03-15 22:30:00+00:00
232006548,"[889799564, 232345740]",2023-03-15 22:30:00+00:00
232345740,"[889799564, 232006548, 875832716]",2023-03-15 22:30:00+00:00
875832716,[232345740],2023-03-15 22:30:00+00:00
232006548,"[232345740, 889799564]",2023-03-15 23:30:00+00:00
232345740,"[232006548, 889799564]",2023-03-15 23:30:00+00:00
889799564,"[232006548, 232345740]",2023-03-15 23:30:00+00:00
232006548,[889799564],2023-03-16 00:30:00+00:00
889799564,[232006548],2023-03-16 00:30:00+00:00
889799564,[232006548],2023-03-16 01:30:00+00:00
232006548,[889799564],2023-03-16 01:30:00+00:00
875832716,"[232006548, 232345740]",2023-03-16 02:30:00+00:00
232006548,"[875832716, 232345740, 889799564]",2023-03-16 02:30:00+00:00
232345740,"[875832716, 232006548, 889799564]",2023-03-16 02:30:00+00:00
889799564,"[232006548, 232345740]",2023-03-16 02:30:00+00:00
875832716,"[889799564, 232006548, 232345740]",2023-03-16 03:30:00+00:00
889799564,"[875832716, 232006548, 232345740]",2023-03-16 03:30:00+00:00
232006548,"[875832716, 889799564, 232345740]",2023-03-16 03:30:00+00:00
232345740,"[875832716, 889799564, 232006548]",2023-03-16 03:30:00+00:00
232006548,"[889799564, 875832716, 232345740]",2023-03-16 04:30:00+00:00
889799564,"[232006548, 875832716]",2023-03-16 04:30:00+00:00
875832716,"[232006548, 889799564, 232345740]",2023-03-16 04:30:00+00:00
232345740,"[232006548, 875832716]",2023-03-16 04:30:00+00:00
232006548,"[889799564, 232345740, 875832716]",2023-03-16 05:30:00+00:00
889799564,"[232006548, 875832716]",2023-03-16 05:30:00+00:00
232345740,"[232006548, 875832716]",2023-03-16 05:30:00+00:00
875832716,"[232006548, 889799564, 232345740]",2023-03-16 05:30:00+00:00
232345740,"[875832716, 232006548]",2023-03-16 06:30:00+00:00
875832716,"[232345740, 232006548]",2023-03-16 06:30:00+00:00
889799564,[232006548],2023-03-16 06:30:00+00:00
232006548,"[232345740, 875832716, 889799564]",2023-03-16 06:30:00+00:00
232006548,"[875832716, 889799564, 232345740]",2023-03-16 07:30:00+00:00
875832716,"[232006548, 232345740]",2023-03-16 07:30:00+00:00
889799564,[232006548],2023-03-16 07:30:00+00:00
232345740,"[232006548, 875832716]",2023-03-16 07:30:00+00:00
563078430,[565761000],2023-03-16 08:30:00+00:00
232006548,"[889799564, 875832716]",2023-03-16 08:30:00+00:00
889799564,[232006548],2023-03-16 08:30:00+00:00
875832716,[232006548],2023-03-16 08:30:00+00:00
565761000,[563078430],2023-03-16 08:30:00+00:00
889799564,"[232006548, 232345740]",2023-03-16 09:30:00+00:00
232006548,"[889799564, 232345740]",2023-03-16 09:30:00+00:00
563078430,[565761000],2023-03-16 09:30:00+00:00
565761000,[563078430],2023-03-16 09:30:00+00:00
232345740,"[889799564, 232006548]",2023-03-16 09:30:00+00:00
875832716,"[232345740, 889799564]",2023-03-16 10:30:00+00:00
232345740,"[875832716, 889799564]",2023-03-16 10:30:00+00:00
889799564,"[875832716, 232345740]",2023-03-16 10:30:00+00:00
232345740,"[875832716, 232006548, 889799564]",2023-03-16 11:30:00+00:00
563078430,[565761000],2023-03-16 11:30:00+00:00
875832716,"[232345740, 232006548, 889799564]",2023-03-16 11:30:00+00:00
232006548,"[232345740, 875832716, 889799564]",2023-03-16 11:30:00+00:00
889799564,"[232345740, 875832716, 232006548]",2023-03-16 11:30:00+00:00
565761000,[563078430],2023-03-16 11:30:00+00:00
232006548,"[889799564, 232345740, 875832716]",2023-03-16 12:30:00+00:00
889799564,"[232006548, 232345740, 875832716]",2023-03-16 12:30:00+00:00
232345740,"[232006548, 889799564, 875832716]",2023-03-16 12:30:00+00:00
875832716,"[232006548, 889799564, 232345740]",2023-03-16 12:30:00+00:00
875832716,"[232345740, 232006548, 889799564]",2023-03-16 13:30:00+00:00
232345740,"[875832716, 232006548, 889799564]",2023-03-16 13:30:00+00:00
232006548,"[875832716, 232345740, 889799564]",2023-03-16 13:30:00+00:00
889799564,"[875832716, 232345740, 232006548]",2023-03-16 13:30:00+00:00
232345740,[232006548],2023-03-16 14:30:00+00:00
232006548,[232345740],2023-03-16 14:30:00+00:00
232345740,[875832716],2023-03-16 15:30:00+00:00
875832716,[232345740],2023-03-16 15:30:00+00:00
563078430,[563014650],2023-03-16 16:30:00+00:00
875832716,"[232006548, 232345740]",2023-03-16 16:30:00+00:00
232006548,"[875832716, 232345740]",2023-03-16 16:30:00+00:00
232345740,"[875832716, 232006548]",2023-03-16 16:30:00+00:00
563014650,[563078430],2023-03-16 16:30:00+00:00
232006548,"[875832716, 232345740]",2023-03-16 17:30:00+00:00
875832716,"[232006548, 232345740]",2023-03-16 17:30:00+00:00
232345740,"[232006548, 875832716]",2023-03-16 17:30:00+00:00
563078430,[563014650],2023-03-16 17:30:00+00:00
563014650,[563078430],2023-03-16 17:30:00+00:00
232345740,"[232006548, 875832716]",2023-03-16 18:30:00+00:00
563078430,[563014650],2023-03-16 18:30:00+00:00
232006548,[232345740],2023-03-16 18:30:00+00:00
563014650,[563078430],2023-03-16 18:30:00+00:00
875832716,[232345740],2023-03-16 18:30:00+00:00
875832716,"[232006548, 232345740]",2023-03-16 19:30:00+00:00
563078430,[563014650],2023-03-16 19:30:00+00:00
232006548,"[875832716, 232345740]",2023-03-16 19:30:00+00:00
563014650,[563078430],2023-03-16 19:30:00+00:00
232345740,"[875832716, 232006548]",2023-03-16 19:30:00+00:00
232006548,"[875832716, 232345740]",2023-03-16 20:30:00+00:00
875832716,"[232006548, 232345740]",2023-03-16 20:30:00+00:00
563014650,[563078430],2023-03-16 20:30:00+00:00
232345740,"[232006548, 875832716]",2023-03-16 20:30:00+00:00
563078430,[563014650],2023-03-16 20:30:00+00:00
232345740,"[875832716, 232006548]",2023-03-16 21:30:00+00:00
875832716,"[232345740, 232006548]",2023-03-16 21:30:00+00:00
232006548,"[232345740, 875832716]",2023-03-16 21:30:00+00:00
232345740,"[875832716, 232006548]",2023-03-16 22:30:00+00:00
875832716,"[232345740, 232006548]",2023-03-16 22:30:00+00:00
232006548,"[232345740, 875832716]",2023-03-16 22:30:00+00:00
232345740,"[232006548, 875832716]",2023-03-16 23:30:00+00:00
232006548,"[232345740, 875832716]",2023-03-16 23:30:00+00:00
875832716,"[232345740, 232006548]",2023-03-16 23:30:00+00:00
232345740,[232006548],2023-03-17 00:30:00+00:00
232006548,[232345740],2023-03-17 00:30:00+00:00
232345740,"[232006548, 875832716]",2023-03-17 01:30:00+00:00
232006548,"[232345740, 875832716]",2023-03-17 01:30:00+00:00
875832716,"[232345740, 232006548]",2023-03-17 01:30:00+00:00
875832716,[232345740],2023-03-17 02:30:00+00:00
232345740,[875832716],2023-03-17 02:30:00+00:00
563014650,[564780000],2023-03-17 03:30:00+00:00
875832716,"[232345740, 232006548]",2023-03-17 03:30:00+00:00
232345740,"[875832716, 232006548]",2023-03-17 03:30:00+00:00
232006548,"[875832716, 232345740]",2023-03-17 03:30:00+00:00
564780000,[563014650],2023-03-17 03:30:00+00:00
232345740,[875832716],2023-03-17 04:30:00+00:00
232006548,[875832716],2023-03-17 04:30:00+00:00
875832716,"[232345740, 232006548]",2023-03-17 04:30:00+00:00
875832716,[232006548],2023-03-17 05:30:00+00:00
232006548,[875832716],2023-03-17 05:30:00+00:00
232006548,[875832716],2023-03-17 06:30:00+00:00
875832716,[232006548],2023-03-17 06:30:00+00:00
232006548,[875832716],2023-03-17 07:30:00+00:00
875832716,[232006548],2023-03-17 07:30:00+00:00
232345740,[875832716],2023-03-17 08:30:00+00:00
875832716,"[232345740, 232006548]",2023-03-17 08:30:00+00:00
232006548,[875832716],2023-03-17 08:30:00+00:00
875832716,"[232006548, 232345740]",2023-03-17 09:30:00+00:00
232006548,"[875832716, 232345740]",2023-03-17 09:30:00+00:00
232345740,"[875832716, 232006548]",2023-03-17 09:30:00+00:00
232345740,"[875832716, 232006548]",2023-03-17 10:30:00+00:00
875832716,"[232345740, 232006548]",2023-03-17 10:30:00+00:00
232006548,"[232345740, 875832716]",2023-03-17 10:30:00+00:00
232006548,"[232345740, 875832716]",2023-03-17 11:30:00+00:00
232345740,"[232006548, 875832716]",2023-03-17 11:30:00+00:00
875832716,"[232006548, 232345740]",2023-03-17 11:30:00+00:00
875832716,"[232006548, 232345740]",2023-03-17 12:30:00+00:00
232006548,"[875832716, 232345740]",2023-03-17 12:30:00+00:00
232345740,"[875832716, 232006548]",2023-03-17 12:30:00+00:00
232345740,"[875832716, 232006548]",2023-03-17 13:30:00+00:00
875832716,"[232345740, 232006548]",2023-03-17 13:30:00+00:00
232006548,"[232345740, 875832716]",2023-03-17 13:30:00+00:00
232345740,"[232006548, 875832716]",2023-03-17 14:30:00+00:00
232006548,"[232345740, 875832716]",2023-03-17 14:30:00+00:00
875832716,"[232345740, 232006548]",2023-03-17 14:30:00+00:00
232006548,"[232345740, 875832716]",2023-03-17 15:30:00+00:00
232345740,"[232006548, 875832716]",2023-03-17 15:30:00+00:00
875832716,"[232006548, 232345740]",2023-03-17 15:30:00+00:00
564780000,[563014650],2023-03-17 16:30:00+00:00
875832716,"[232006548, 232345740]",2023-03-17 16:30:00+00:00
232006548,"[875832716, 232345740]",2023-03-17 16:30:00+00:00
232345740,"[875832716, 232006548]",2023-03-17 16:30:00+00:00
563014650,[564780000],2023-03-17 16:30:00+00:00
